songID,sourcePath,action,fsIn,nChannelsIn,rmsDbfsIn,gainDb,peakAfter,clipGuard,durationSec,elapsedSec,message
98,"opm/065 - Jan Roberts - Hirap Kalimutan (Official Lyric Video).wav",processed,48000,2,-15.0032190987083,-4.99678090129169,0.537737953246965,0,185.81775,0.2256853,48000 Hz/2ch -> 8 kHz mono
99,"opm/066 - Cup of Joe - Misteryoso  (Official Lyric Video).wav",processed,48000,2,-11.7698949253739,-8.23010507462613,0.416049052779366,0,237.377625,0.2838461,48000 Hz/2ch -> 8 kHz mono
100,"opm/067 - juan karlos - Through the Years (From ＂Lolo and the Kid＂) Official Audio.wav",processed,48000,2,-14.688098759977,-5.31190124002296,0.543064809427519,0,241.417875,0.3039987,48000 Hz/2ch -> 8 kHz mono
101,"opm/071 - James Reid - Sandal (Official Lyric Video).wav",processed,48000,2,-11.9224665937629,-8.07753340623709,0.404112599201897,0,226.46425,0.2837073,48000 Hz/2ch -> 8 kHz mono
102,"opm/072 - Dilaw - Yiee (Official Music Video and Lyric Visualizer).wav",processed,48000,2,-12.0008215381445,-7.99917846185546,0.446145702683753,0,233.8715,0.2987522,48000 Hz/2ch -> 8 kHz mono
103,"opm/074 - Moonstar88 - Migraine (Lyrics).wav",processed,48000,2,-11.3155978905885,-8.68440210941149,0.378230949532973,0,279.684375,0.3532553,48000 Hz/2ch -> 8 kHz mono
104,"opm/076 - BINI - Karera (Lyrics).wav",processed,48000,2,-11.4288143447716,-8.5711856552284,0.443866748253001,0,287.497875,0.3361239,48000 Hz/2ch -> 8 kHz mono
105,"opm/077 - December Avenue - Huling Sandali (Lyric Video).wav",processed,48000,2,-12.6554754915125,-7.34452450848754,0.422887847556762,0,341.646875,0.502892,48000 Hz/2ch -> 8 kHz mono
106,"opm/078 - Hev Abi - Sumugal feat. Unotheone, LK.wav",processed,48000,2,-11.8799023465423,-8.1200976534577,0.4109265986788,0,182.1025,0.2150972,48000 Hz/2ch -> 8 kHz mono
107,"opm/082 - Nateman - IMMA FLIRT ft. Lucky (Official Lyric Video).wav",processed,48000,2,-13.9456739068509,-6.05432609314914,0.49823541492925,0,198.867375,0.2365384,48000 Hz/2ch -> 8 kHz mono
