tau,rho,precision,recall,far,f1,tp,nAccepted,nFalseAccept
0.00473409938930419,7,1,0.895,0,0.944591029023747,1611,1611,0
0.00473409938930419,10,1,0.812222222222222,0,0.896382587369712,1462,1462,0
0.00504540867810293,1,0.681352069882264,0.996666666666667,0.925555555555556,0.809384164222874,1794,2633,833
0.00504540867810293,1.1,0.784682713347921,0.996111111111111,0.543333333333333,0.877845777233782,1793,2285,489
0.00504540867810293,1.25,0.830861909175162,0.996111111111111,0.402222222222222,0.906013137948459,1793,2158,362
0.00504540867810293,1.5,0.934827945776851,0.996111111111111,0.138888888888889,0.964497041420118,1793,1918,125
0.00504540867810293,1.75,0.979759299781182,0.995,0.0411111111111111,0.987320837927233,1791,1828,37
0.00504540867810293,2,0.988931931377975,0.992777777777778,0.0222222222222222,0.990851122816745,1787,1807,20
0.00504540867810293,2.5,0.997192588433464,0.986666666666667,0.00555555555555556,0.991901703434795,1776,1781,5
0.00504540867810293,3,0.998305084745763,0.981666666666667,0.00333333333333333,0.989915966386555,1767,1770,3
0.00504540867810293,4,1,0.97,0,0.984771573604061,1746,1746,0
0.00504540867810293,5,1,0.946666666666667,0,0.972602739726027,1704,1704,0
0.00504540867810293,7,1,0.895,0,0.944591029023747,1611,1611,0
0.00504540867810293,10,1,0.812222222222222,0,0.896382587369712,1462,1462,0
0.0052557694708561,1,0.687619777692603,0.996666666666667,0.898888888888889,0.813789975051032,1794,2609,809
0.0052557694708561,1.1,0.789520035226772,0.996111111111111,0.527777777777778,0.880864652419553,1793,2271,475
0.0052557694708561,1.25,0.836287313432836,0.996111111111111,0.386666666666667,0.909229208924949,1793,2144,348
0.0052557694708561,1.5,0.934827945776851,0.996111111111111,0.138888888888889,0.964497041420118,1793,1918,125
0.0052557694708561,1.75,0.979759299781182,0.995,0.0411111111111111,0.987320837927233,1791,1828,37
0.0052557694708561,2,0.988931931377975,0.992777777777778,0.0222222222222222,0.990851122816745,1787,1807,20
0.0052557694708561,2.5,0.997192588433464,0.986666666666667,0.00555555555555556,0.991901703434795,1776,1781,5
0.0052557694708561,3,0.998305084745763,0.981666666666667,0.00333333333333333,0.989915966386555,1767,1770,3
0.0052557694708561,4,1,0.97,0,0.984771573604061,1746,1746,0
0.0052557694708561,5,1,0.946666666666667,0,0.972602739726027,1704,1704,0
0.0052557694708561,7,1,0.895,0,0.944591029023747,1611,1611,0
0.0052557694708561,10,1,0.812222222222222,0,0.896382587369712,1462,1462,0
0.00542789204399814,1,0.693467336683417,0.996666666666667,0.874444444444444,0.817870982448142,1794,2587,787
0.00542789204399814,1.1,0.792661361626879,0.996111111111111,0.517777777777778,0.882816346627277,1793,2262,466
0.00542789204399814,1.25,0.839419475655431,0.996111111111111,0.377777777777778,0.911077235772358,1793,2136,340
0.00542789204399814,1.5,0.934827945776851,0.996111111111111,0.138888888888889,0.964497041420118,1793,1918,125
0.00542789204399814,1.75,0.979759299781182,0.995,0.0411111111111111,0.987320837927233,1791,1828,37
0.00542789204399814,2,0.988931931377975,0.992777777777778,0.0222222222222222,0.990851122816745,1787,1807,20
0.00542789204399814,2.5,0.997192588433464,0.986666666666667,0.00555555555555556,0.991901703434795,1776,1781,5
0.00542789204399814,3,0.998305084745763,0.981666666666667,0.00333333333333333,0.989915966386555,1767,1770,3
0.00542789204399814,4,1,0.97,0,0.984771573604061,1746,1746,0
0.00542789204399814,5,1,0.946666666666667,0,0.972602739726027,1704,1704,0
0.00542789204399814,7,1,0.895,0,0.944591029023747,1611,1611,0
0.00542789204399814,10,1,0.812222222222222,0,0.896382587369712,1462,1462,0
0.00565345970140338,1,0.699687987519501,0.996666666666667,0.848888888888889,0.82218148487626,1794,2564,764
0.00565345970140338,1.1,0.79547471162378,0.996111111111111,0.508888888888889,0.884558460779477,1793,2254,458
0.00565345970140338,1.25,0.841389019239793,0.996111111111111,0.372222222222222,0.912236072246248,1793,2131,335
0.00565345970140338,1.5,0.936292428198433,0.996111111111111,0.135555555555556,0.965275908479139,1793,1915,122
0.00565345970140338,1.75,0.979759299781182,0.995,0.0411111111111111,0.987320837927233,1791,1828,37
0.00565345970140338,2,0.988931931377975,0.992777777777778,0.0222222222222222,0.990851122816745,1787,1807,20
0.00565345970140338,2.5,0.997192588433464,0.986666666666667,0.00555555555555556,0.991901703434795,1776,1781,5
0.00565345970140338,3,0.998305084745763,0.981666666666667,0.00333333333333333,0.989915966386555,1767,1770,3
0.00565345970140338,4,1,0.97,0,0.984771573604061,1746,1746,0
0.00565345970140338,5,1,0.946666666666667,0,0.972602739726027,1704,1704,0
0.00565345970140338,7,1,0.895,0,0.944591029023747,1611,1611,0
0.00565345970140338,10,1,0.812222222222222,0,0.896382587369712,1462,1462,0
0.00591715976331361,1,0.705743509047994,0.996666666666667,0.824444444444444,0.826347305389222,1794,2542,742
0.00591715976331361,1.1,0.799019607843137,0.996111111111111,0.497777777777778,0.886745796241345,1793,2244,448
0.00591715976331361,1.25,0.842179426961015,0.996111111111111,0.37,0.912700432680071,1793,2129,333
0.00591715976331361,1.5,0.937271301620491,0.996111111111111,0.133333333333333,0.96579585241045,1793,1913,120
0.00591715976331361,1.75,0.979759299781182,0.995,0.0411111111111111,0.987320837927233,1791,1828,37
0.00591715976331361,2,0.988931931377975,0.992777777777778,0.0222222222222222,0.990851122816745,1787,1807,20
0.00591715976331361,2.5,0.997192588433464,0.986666666666667,0.00555555555555556,0.991901703434795,1776,1781,5
0.00591715976331361,3,0.998305084745763,0.981666666666667,0.00333333333333333,0.989915966386555,1767,1770,3
0.00591715976331361,4,1,0.97,0,0.984771573604061,1746,1746,0
0.00591715976331361,5,1,0.946666666666667,0,0.972602739726027,1704,1704,0
0.00591715976331361,7,1,0.895,0,0.944591029023747,1611,1611,0
0.00591715976331361,10,1,0.812222222222222,0,0.896382587369712,1462,1462,0
0.00614451014249115,1,0.712187375942834,0.996666666666667,0.798888888888889,0.830747858300533,1794,2519,719
0.00614451014249115,1.1,0.801878354203936,0.996111111111111,0.488888888888889,0.888503468780971,1793,2236,440
0.00614451014249115,1.25,0.842575187969925,0.996111111111111,0.368888888888889,0.912932790224033,1793,2128,332
0.00614451014249115,1.5,0.937761506276151,0.996111111111111,0.132222222222222,0.966056034482759,1793,1912,119
0.00614451014249115,1.75,0.979759299781182,0.995,0.0411111111111111,0.987320837927233,1791,1828,37
0.00614451014249115,2,0.988931931377975,0.992777777777778,0.0222222222222222,0.990851122816745,1787,1807,20
0.00614451014249115,2.5,0.997192588433464,0.986666666666667,0.00555555555555556,0.991901703434795,1776,1781,5
0.00614451014249115,3,0.998305084745763,0.981666666666667,0.00333333333333333,0.989915966386555,1767,1770,3
0.00614451014249115,4,1,0.97,0,0.984771573604061,1746,1746,0
0.00614451014249115,5,1,0.946666666666667,0,0.972602739726027,1704,1704,0
0.00614451014249115,7,1,0.895,0,0.944591029023747,1611,1611,0
0.00614451014249115,10,1,0.812222222222222,0,0.896382587369712,1462,1462,0
0.00635255232036317,1,0.71875,0.996666666666667,0.773333333333333,0.835195530726257,1794,2496,696
0.00635255232036317,1.1,0.807657657657658,0.996111111111111,0.471111111111111,0.892039800995025,1793,2220,424
0.00635255232036317,1.25,0.844559585492228,0.996111111111111,0.363333333333333,0.914096354830487,1793,2123,327
0.00635255232036317,1.5,0.939727463312369,0.996111111111111,0.127777777777778,0.967098166127292,1793,1908,115
0.00635255232036317,1.75,0.979759299781182,0.995,0.0411111111111111,0.987320837927233,1791,1828,37
0.00635255232036317,2,0.988931931377975,0.992777777777778,0.0222222222222222,0.990851122816745,1787,1807,20
0.00635255232036317,2.5,0.997192588433464,0.986666666666667,0.00555555555555556,0.991901703434795,1776,1781,5
0.00635255232036317,3,0.998305084745763,0.981666666666667,0.00333333333333333,0.989915966386555,1767,1770,3
0.00635255232036317,4,1,0.97,0,0.984771573604061,1746,1746,0
0.00635255232036317,5,1,0.946666666666667,0,0.972602739726027,1704,1704,0
0.00635255232036317,7,1,0.895,0,0.944591029023747,1611,1611,0
0.00635255232036317,10,1,0.812222222222222,0,0.896382587369712,1462,1462,0
0.00660684491214954,1,0.72543469470279,0.996666666666667,0.747777777777778,0.839691083547859,1794,2473,673
0.00660684491214954,1.1,0.812415043044857,0.996111111111111,0.456666666666667,0.894933865734964,1793,2207,411
0.00660684491214954,1.25,0.846153846153846,0.996111111111111,0.358888888888889,0.915029344220464,1793,2119,323
0.00660684491214954,1.5,0.940220241216571,0.996111111111111,0.126666666666667,0.967359050445104,1793,1907,114
0.00660684491214954,1.75,0.979759299781182,0.995,0.0411111111111111,0.987320837927233,1791,1828,37
0.00660684491214954,2,0.988931931377975,0.992777777777778,0.0222222222222222,0.990851122816745,1787,1807,20
0.00660684491214954,2.5,0.997192588433464,0.986666666666667,0.00555555555555556,0.991901703434795,1776,1781,5
0.00660684491214954,3,0.998305084745763,0.981666666666667,0.00333333333333333,0.989915966386555,1767,1770,3
0.00660684491214954,4,1,0.97,0,0.984771573604061,1746,1746,0
0.00660684491214954,5,1,0.946666666666667,0,0.972602739726027,1704,1704,0
0.00660684491214954,7,1,0.895,0,0.944591029023747,1611,1611,0
0.00660684491214954,10,1,0.812222222222222,0,0.896382587369712,1462,1462,0
0.0067891522356734,1,0.731946144430845,0.996666666666667,0.723333333333333,0.844036697247706,1794,2451,651
0.0067891522356734,1.1,0.817228805834093,0.996111111111111,0.442222222222222,0.897846770155233,1793,2194,398
