tau,rho,precision,recall,far,f1,tp,nAccepted,nFalseAccept
0.00801603206412826,4,0.95264017419706,0.972222222222222,0.0966666666666667,0.962331591971405,1750,1837,87
0.00801603206412826,5,0.953811908736784,0.952222222222222,0.0922222222222222,0.953016402557687,1714,1797,83
0.00801603206412826,7,0.953392330383481,0.897777777777778,0.0877777777777778,0.924749642346209,1616,1695,79
0.00801603206412826,10,0.9521625163827,0.807222222222222,0.0811111111111111,0.873722188815394,1453,1526,73
0.00842105263157895,1,0.766894781864842,0.996111111111111,0.601111111111111,0.866602223296278,1793,2338,541
0.00842105263157895,1.1,0.822099954149473,0.996111111111111,0.427777777777778,0.900778698819392,1793,2181,385
0.00842105263157895,1.25,0.85171102661597,0.995555555555556,0.344444444444444,0.918032786885246,1792,2104,310
0.00842105263157895,1.5,0.912289648138705,0.993888888888889,0.19,0.951342727997873,1789,1961,171
0.00842105263157895,1.75,0.941517386722866,0.992777777777778,0.123333333333333,0.966468361276366,1787,1898,111
0.00842105263157895,2,0.943416181914331,0.991111111111111,0.118888888888889,0.966675697642915,1784,1891,107
0.00842105263157895,2.5,0.951154052603328,0.984444444444444,0.101111111111111,0.967512967512967,1772,1863,91
0.00842105263157895,3,0.951430113329736,0.979444444444444,0.1,0.965234054202026,1763,1853,90
0.00842105263157895,4,0.95264017419706,0.972222222222222,0.0966666666666667,0.962331591971405,1750,1837,87
0.00842105263157895,5,0.953811908736784,0.952222222222222,0.0922222222222222,0.953016402557687,1714,1797,83
0.00842105263157895,7,0.953392330383481,0.897777777777778,0.0877777777777778,0.924749642346209,1616,1695,79
0.00842105263157895,10,0.9521625163827,0.807222222222222,0.0811111111111111,0.873722188815394,1453,1526,73
0.00861751152073733,1,0.77451403887689,0.996111111111111,0.575555555555556,0.871445929526124,1793,2315,518
0.00861751152073733,1.1,0.827029520295203,0.996111111111111,0.413333333333333,0.903729838709677,1793,2168,372
0.00861751152073733,1.25,0.8565965583174,0.995555555555556,0.331111111111111,0.920863309352518,1792,2092,298
0.00861751152073733,1.5,0.912289648138705,0.993888888888889,0.19,0.951342727997873,1789,1961,171
0.00861751152073733,1.75,0.941517386722866,0.992777777777778,0.123333333333333,0.966468361276366,1787,1898,111
0.00861751152073733,2,0.943416181914331,0.991111111111111,0.118888888888889,0.966675697642915,1784,1891,107
0.00861751152073733,2.5,0.951154052603328,0.984444444444444,0.101111111111111,0.967512967512967,1772,1863,91
0.00861751152073733,3,0.951430113329736,0.979444444444444,0.1,0.965234054202026,1763,1853,90
0.00861751152073733,4,0.95264017419706,0.972222222222222,0.0966666666666667,0.962331591971405,1750,1837,87
0.00861751152073733,5,0.953811908736784,0.952222222222222,0.0922222222222222,0.953016402557687,1714,1797,83
0.00861751152073733,7,0.953392330383481,0.897777777777778,0.0877777777777778,0.924749642346209,1616,1695,79
0.00861751152073733,10,0.9521625163827,0.807222222222222,0.0811111111111111,0.873722188815394,1453,1526,73
0.00890268161731321,1,0.782286212914485,0.996111111111111,0.55,0.876344086021505,1793,2292,495
0.00890268161731321,1.1,0.832018561484919,0.996111111111111,0.398888888888889,0.906700379266751,1793,2155,359
0.00890268161731321,1.25,0.861952861952862,0.995555555555556,0.316666666666667,0.923949471513277,1792,2079,285
0.00890268161731321,1.5,0.913221031138336,0.993888888888889,0.187777777777778,0.951848895982974,1789,1959,169
0.00890268161731321,1.75,0.942013705851344,0.992777777777778,0.122222222222222,0.966729780903435,1787,1897,110
0.00890268161731321,2,0.943915343915344,0.991111111111111,0.117777777777778,0.966937669376694,1784,1890,106
0.00890268161731321,2.5,0.951154052603328,0.984444444444444,0.101111111111111,0.967512967512967,1772,1863,91
0.00890268161731321,3,0.951430113329736,0.979444444444444,0.1,0.965234054202026,1763,1853,90
0.00890268161731321,4,0.95264017419706,0.972222222222222,0.0966666666666667,0.962331591971405,1750,1837,87
0.00890268161731321,5,0.953811908736784,0.952222222222222,0.0922222222222222,0.953016402557687,1714,1797,83
0.00890268161731321,7,0.953392330383481,0.897777777777778,0.0877777777777778,0.924749642346209,1616,1695,79
0.00890268161731321,10,0.9521625163827,0.807222222222222,0.0811111111111111,0.873722188815394,1453,1526,73
0.00926388443234191,1,0.79021595416483,0.996111111111111,0.524444444444444,0.881297616121897,1793,2269,472
0.00926388443234191,1.1,0.835507921714818,0.996111111111111,0.388888888888889,0.908768373035986,1793,2146,350
0.00926388443234191,1.25,0.865700483091787,0.995555555555556,0.306666666666667,0.92609819121447,1792,2070,276
0.00926388443234191,1.5,0.914154317833418,0.993888888888889,0.185555555555556,0.952355602874634,1789,1957,167
